Fuel_Type,Gearbox_Automatic,Gearbox_Manual,Gearbox_Semi-automatic,Mileage_km,Price,Year,Gears,Power_hp,Engine_Size_cc,Cylinders
0.0,0.0,1.0,0.0,172870.0,12.4,2018.0,6.0,116.0,999.0,3.0
1.0,0.0,1.0,0.0,149900.0,14.498,2016.0,6.0,150.0,1968.0,4.0
1.0,1.0,0.0,0.0,209000.0,12.9,2014.0,6.0,177.0,1968.0,4.0
1.0,1.0,0.0,0.0,194000.0,19.99,2022.0,6.0,204.0,1968.0,5.0
0.0,0.0,1.0,0.0,69965.0,15.19,2016.0,6.0,150.0,1395.0,4.0
1.0,1.0,0.0,0.0,29104.0,21.99,2023.0,6.0,170.0,2275.0,5.0
0.0,1.0,0.0,0.0,76000.0,16.98,2014.0,6.0,179.0,1798.0,4.0
0.0,0.0,1.0,0.0,52698.0,19.945,2019.0,6.0,116.0,999.0,3.0
1.0,1.0,0.0,0.0,181000.0,14.9,2009.0,6.0,239.0,2967.0,5.0
0.0,0.0,1.0,0.0,29412.0,19.45,2022.0,6.0,116.0,999.0,3.0
0.0,1.0,0.0,0.0,140576.0,12.895,2014.0,6.0,179.0,1798.0,4.0
0.0,1.0,0.0,0.0,100493.0,9.95,2010.0,6.0,179.0,1984.0,4.0
0.0,1.0,0.0,0.0,5560.0,39.89,2025.0,6.0,150.0,1498.0,4.0
1.0,1.0,0.0,0.0,14712.0,23.63,2022.0,6.0,150.0,1395.0,4.0
0.0,1.0,0.0,0.0,86100.0,15.99,2017.0,6.0,150.0,1395.0,4.0
0.0,0.0,1.0,0.0,11243.0,18.7,2019.0,6.0,116.0,999.0,3.0
0.0,0.0,1.0,0.0,128901.0,10.885,2014.0,6.0,122.0,1395.0,4.0
0.0,1.0,0.0,0.0,37816.0,22.99,2021.0,6.0,150.0,1498.0,5.0
0.0,0.0,1.0,0.0,145760.0,10.95,2011.0,6.0,211.0,1984.0,4.0
0.0,0.0,1.0,0.0,141999.0,12.45,2013.0,6.0,122.0,1395.0,4.0
1.0,1.0,0.0,0.0,125000.0,18.99,2015.0,6.0,190.0,1968.0,4.0
1.0,1.0,0.0,0.0,144550.0,19.98,2022.0,6.0,163.0,1968.0,4.0
1.0,1.0,0.0,0.0,144100.0,23.999,2022.0,6.0,163.0,1968.0,4.0
0.0,0.0,1.0,0.0,79759.0,16.78,2017.0,6.0,150.0,1395.0,4.0
