fuel,subcategory,transmission,price,year
1.0,1.0,1.0,10200.0,2022.0
0.0,0.0,1.0,11400.0,2020.0
1.0,0.0,0.0,16500.0,2014.0
1.0,0.0,0.0,15000.0,2015.0
1.0,0.0,0.0,15500.0,2018.0
1.0,1.0,0.0,10500.0,2006.0
1.0,0.0,0.0,35000.0,2020.0
1.0,0.0,0.0,21500.0,2019.0
1.0,0.0,0.0,18300.0,2020.0
1.0,1.0,0.0,49500.0,2018.0
1.0,0.0,0.0,41000.0,2018.0
1.0,0.0,1.0,14950.0,2015.0
1.0,1.0,1.0,10800.0,2016.0
1.0,0.0,0.0,12000.0,2018.0
1.0,0.0,1.0,13500.0,2019.0
1.0,0.0,0.0,25000.0,2020.0
1.0,0.0,1.0,13000.0,2014.0
1.0,0.0,0.0,7400.0,2010.0
1.0,1.0,0.0,21000.0,2020.0
0.0,1.0,0.0,9700.0,2015.0
0.0,0.0,1.0,13500.0,2026.0
1.0,0.0,0.0,16900.0,2017.0
1.0,0.0,0.0,12000.0,2010.0
1.0,0.0,0.0,15200.0,2017.0
1.0,0.0,1.0,16500.0,2026.0
1.0,0.0,1.0,21500.0,2022.0
1.0,1.0,1.0,4000.0,1997.0
1.0,0.0,0.0,13000.0,2021.0
1.0,0.0,0.0,30500.0,2021.0
1.0,0.0,0.0,19890.0,2025.0
1.0,0.0,1.0,15800.0,2024.0
1.0,0.0,0.0,29900.0,2018.0
1.0,0.0,0.0,8900.0,2009.0
